name,2020_inspection_count
"BG0001001, Queens County, NY",1
"BG0002001, Kings County, NY",1
"BG0002011, New York County, NY",1
"BG0003001, Richmond County, NY",2
"BG0003013, Kings County, NY",1
"BG0004001, Queens County, NY",1
"BG0004002, Bronx County, NY",1
"BG0004002, Queens County, NY",2
"BG0005021, Kings County, NY",2
"BG0005022, Kings County, NY",6
"BG0006001, New York County, NY",1
"BG0006001, Richmond County, NY",1
"BG0006003, New York County, NY",3
"BG0007001, Kings County, NY",1
"BG0007001, New York County, NY",1
"BG0007001, Queens County, NY",1
"BG0007002, Queens County, NY",1
"BG0007003, Kings County, NY",1
"BG0007003, Queens County, NY",1
"BG0007004, Queens County, NY",4
"BG0008001, New York County, NY",6
"BG0008001, Richmond County, NY",1
"BG0008006, New York County, NY",1
"BG0009001, Kings County, NY",1
"BG0009001, New York County, NY",7
"BG0009002, Kings County, NY",1
"BG0010001, Queens County, NY",3
"BG0011001, Kings County, NY",2
"BG0011001, Richmond County, NY",3
"BG0013002, New York County, NY",1
"BG0014021, New York County, NY",2
"BG0015003, Kings County, NY",1
"BG0015011, New York County, NY",3
"BG0015013, New York County, NY",2
"BG0015021, New York County, NY",5
"BG0015022, New York County, NY",3
"BG0016003, New York County, NY",1
"BG0016005, New York County, NY",2
"BG0018001, Kings County, NY",1
"BG0018001, New York County, NY",1
"BG0018003, New York County, NY",3
"BG0018006, New York County, NY",1
"BG0018007, New York County, NY",1
"BG0019001, Queens County, NY",3
"BG0020021, Richmond County, NY",1
"BG0021001, Kings County, NY",2
"BG0021001, New York County, NY",4
"BG0021002, Kings County, NY",1
"BG0021003, Richmond County, NY",1
"BG0022002, Queens County, NY",1
"BG0022021, New York County, NY",1
"BG0024002, Queens County, NY",1
"BG0025001, Bronx County, NY",2
"BG0026001, Queens County, NY",1
"BG0026011, New York County, NY",1
"BG0026021, New York County, NY",1
"BG0026022, New York County, NY",1
"BG0027001, Richmond County, NY",3
"BG0027022, Bronx County, NY",1
"BG0028001, Bronx County, NY",1
"BG0029001, New York County, NY",1
"BG0029002, New York County, NY",2
"BG0029003, New York County, NY",9
"BG0030011, New York County, NY",3
"BG0030012, New York County, NY",2
"BG0030014, New York County, NY",3
"BG0030021, New York County, NY",3
"BG0030022, New York County, NY",2
"BG0031001, Bronx County, NY",2
"BG0031001, Queens County, NY",2
"BG0031002, Kings County, NY",1
"BG0032001, New York County, NY",4
"BG0032001, Queens County, NY",1
"BG0032002, New York County, NY",3
"BG0032005, New York County, NY",1
"BG0032006, New York County, NY",3
"BG0032007, New York County, NY",2
"BG0033001, Kings County, NY",1
